Количество комнат,Площадь,Этаж,Полный адрес,Цена (доллары),Цена (сомы)
3,105 м2,8 этаж из 12,"Бишкек, Московская - Уметалиева, Московская 191/Уметалиева",$ 169 300,14 676 617 сом
3,132 м2,3 этаж из 16,"Бишкек, Магистраль, Жукеева-Пудовкина/Аалы Токомбаева",$ 250 800,21 741 852 сом
2,73.34 м2,9 этаж из 10,"Бишкек, Арча-Бешик ж/м, Космическая 153",$ 81 500,7 065 235 сом
2,56 м2,5 этаж из 12,"Бишкек, Нижний Токольдош,  ул. Кийизбаева 32",$ 82 500,7 151 925 сом
3,98.41 м2,8 этаж из 15,"Бишкек, Карла Маркса,  ул. Юнусалиева, пер.Карасаева",$ 126 950,11 005 296 сом
3,94 м2,4 этаж из 10,"Бишкек, Кок-Жар ж/м, Кок-Жар (Куйручук/ Тон) 197",$ 112 800,9 778 632 сом
1,38 м2,3 этаж из 9,"Бишкек, с. Кок-Джар, Баялинова 61 61",$ 55 500,4 811 295 сом
1,50 м2,12 этаж из 17,"Бишкек, Советская - Скрябина, Медерова 44/2 / Жукеева-Пудовкина",$ 66 800,5 790 892 сом
2,65 м2,9 этаж из 14,"Бишкек, Кок-Жар ж/м, Молдокулова 100",$ 54 800,4 750 612 сом
3,100 м2,8 этаж из 14,"Бишкек, Гагарина, Джал, ул. Курчатова 81",$ 165 000,14 303 850 сом
1,47 м2,7 этаж из 14,"Бишкек, Чокана Валиханова - Исакеева,  ул. Исакеева/Виноградная",$ 57 000,4 941 330 сом
1,25 м2,2 этаж из 4,"Иссык-Кульская область, с. Кара-Ой",$ 40 000,3 467 600 сом
1,30 м2,2 этаж из 5,"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",$ 48 500,4 204 465 сом
3,109 м2,7 этаж из 9,"Бишкек, Магистраль, Чингиза Айтматова 299/1",$ 170 000,14 737 300 сом
3,136 м2,9 этаж из 16,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",$ 185 000,16 037 650 сом
1,60 м2,4 этаж из 16,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",$ 85 000,7 368 650 сом
3,85 м2,5 этаж из 8,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 176 000,15 257 440 сом
2,53 м2,12 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова",$ 100 000,8 669 000 сом
2,75 м2,16 этаж из 16,"Бишкек, Советская - Скрябина, Абая/Ахунбаева",$ 140 000,12 136 600 сом
2,75 м2,12 этаж из 14,"Бишкек, Магистраль, Байтик Баатыра/Южная магистраль",$ 120 000,10 402 800 сом
2,80.5 м2,7 этаж из 10,"Бишкек, Золотой квадрат, Токтогула, 116а",$ 175 000,15 170 750 сом
5,104 м2,5 этаж из 5,"Бишкек, Баха",$ 96 000,8 322 240 сом
2,43 м2,2 этаж из 5,"Бишкек, ТЭЦ",$ 69 000,5 981 610 сом
3,100 м2,1 этаж из 4,"Ошская область, Ош, Ленина 102",$ 90 000,7 802 100 сом
2,66.1 м2,2 этаж из 12,"Бишкек, АЮ Grand, Ч.Валиханова 18",$ 75 000,6 501 750 сом
2,62.6 м2,11 этаж из 12,"Бишкек, Золотой квадрат,  ул.Тыныстанова 94/Московской",$ 159 000,13 783 710 сом
2,49 м2,3 этаж из 4,"Бишкек, 11 м-н 11",$ 79 500,6 891 855 сом
3,120 м2,7 этаж из 12,"Бишкек, Джал 15 м-н, Ахунбаева (Джал-15) 101/Тыналиева",$ 150 000,13 003 500 сом
3,109 м2,11 этаж из 14,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",$ 130 800,11 337 744 сом
2,40.2 м2,3 этаж из 5,"Бишкек, Академия Наук, Чуй пр-т, 172",$ 75 000,6 501 750 сом
2,70.4 м2,8 этаж из 12,"Бишкек, Парк Панфилова/Спартак, Якова Логвиненко, 28",$ 135 000,11 701 800 сом
1,47 м2,6 этаж из 12,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",$ 78 000,6 761 820 сом
2,41 м2,4 этаж из 4,"Бишкек, Парк Ататюрк, Токтоналиева/Ахунбаева",$ 67 000,5 808 230 сом
3,86 м2,5 этаж из 9,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 175 000,15 170 750 сом
6,406 м2,10 этаж из 10,"Бишкек, 6 м-н, Каралаева, 40",$ 450 000,39 010 500 сом
1,34 м2,1 этаж из 5,"Бишкек, Центральная мечеть, Гоголя/Московская",$ 61 500,5 331 435 сом
3,107 м2,9 этаж из 13,"Бишкек, Военторг, Токтогула/Тоголок Молдо",$ 205 000,17 771 450 сом
3,110 м2,8 этаж из 10,"Бишкек, Магистраль, Аалы Токомбаева улица 15/3/Токомбаева",$ 235 000,20 372 150 сом
3,104 м2,9 этаж из 14,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",$ 189 000,16 384 410 сом
2,45 м2,2 этаж из 4,"Бишкек, Московская - Уметалиева, Сыдыкова/Турусбекова",$ 71 500,6 198 335 сом
5,172 м2,2 этаж из 9,"Бишкек, Сквер Тоголок Молдо, Московская 147",$ 290 000,25 140 100 сом
3,114.6 м2,7 этаж из 15,"Бишкек, 7 м-н, 7 мкр., ул. Юнусалиева",$ 215 000,18 638 350 сом
1,37 м2,9 этаж из 14,"Бишкек, с. Кок-Джар, Ак-кайын 1а/Кара кол",$ 57 000,4 941 330 сом
2,42 м2,2 этаж из 4,"Бишкек, 8 м-н, Байтик Баатыра/Магистраль",$ 77 000,6 675 130 сом
2,80 м2,5 этаж из 14,"Бишкек, Карпинка, Суюнбаева/Фрунзе",$ 132 000,11 443 080 сом
3,58 м2,2 этаж из 4,"Бишкек, Молодая Гвардия, Бейшеналиева 35/Чуй",$ 73 000,6 328 370 сом
2,43 м2,4 этаж из 4,"Бишкек, 5 м-н",$ 72 500,6 285 025 сом
2,80 м2,4 этаж из 18,"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",$ 140 800,12 205 952 сом
1,70 м2,3 этаж из 5,"Бишкек, Золотой квадрат, 103000",$ 103 000,8 929 070 сом
3,103 м2,12 этаж из 16,"Бишкек, Магистраль, Асанбай, Сухэ-Батора",$ 208 000,18 031 520 сом
3,72 м2,5 этаж из 5,"Ошская область, Ош, Салиева",$ 65 000,5 634 850 сом
1,54 м2,4 этаж из 13,"Бишкек, 12 м-н, 12 мкрн 57/1",$ 96 500,8 365 585 сом
5,125 м2,8 этаж из 10,"Бишкек, КНУ, Пр. Манаса/ул.Фрунзе",$ 230 000,19 938 700 сом
2,74 м2,1 этаж из 8,"Бишкек, АЮ Grand, Исакеева 2",$ 86 500,7 498 685 сом
2,68 м2,10 этаж из 14,"Бишкек, Джальская больница, тыналиева 2/21",$ 130 000,11 269 700 сом
2,66 м2,9 этаж из 10,"Бишкек, Тунгуч м-н",$ 87 000,7 542 030 сом
3,125 м2,7 этаж из 7,"Бишкек, Магистраль, Б. Баатыра/А.Токомбаева",$ 91 250,7 910 463 сом
1,25 м2,1 этаж из 4,"Иссык-Кульская область, с. Кара-Ой",$ 41 250,3 575 963 сом
2,68 м2,9 этаж из 12,"Ошская область, Ош, Алайская 35/83",$ 115 000,9 969 350 сом
3,123 м2,8 этаж из 16,"Бишкек, Мед. академия",$ 175 000,15 170 750 сом
5,126 м2,12 этаж из 14,"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",$ 232 000,20 112 080 сом
1,40 м2,6 этаж из 18,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",$ 65 000,5 634 850 сом
1,40.9 м2,3 этаж из 16,"Бишкек, Магистраль",$ 49 000,4 247 810 сом
2,93 м2,4 этаж из 9,"Бишкек, с. Кок-Джар, Баялинова 1к",$ 77 400,6 709 806 сом
3,114 м2,4 этаж из 9,"Бишкек, с. Кок-Джар",$ 96 200,8 339 578 сом
3,114 м2,7 этаж из 9,"Бишкек, с. Кок-Джар",$ 93 200,8 079 508 сом
3,104 м2,6 этаж из 10,"Бишкек, 12 м-н",$ 159 000,13 783 710 сом
2,67 м2,12 этаж из 13,"Бишкек, АЮ Grand, мкр. Тунгуч",$ 68 000,5 894 920 сом
3,120 м2,2 этаж из 9,"Бишкек, Азия Молл",$ 163 000,14 130 470 сом
3,117 м2,7 этаж из 10,"Бишкек, Магистраль, Аалы Токомбаева улица 15/3/Токомбаева",$ 176 000,15 257 440 сом
2,70 м2,2 этаж из 12,"Бишкек, 6 м-н",$ 72 000,6 241 680 сом
3,72 м2,1 этаж из 9,"Бишкек, 12 м-н",$ 106 000,9 189 140 сом
1,38 м2,2 этаж из 12,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",$ 52 500,4 551 225 сом
6,216 м2,7 этаж из 8,"Бишкек, Московская - Уметалиева, токтогула 214/1",$ 175 000,15 170 750 сом
1,43 м2,9 этаж из 12,"Бишкек, Нижний Токольдош,  ул. Кийизбаева/Передовая (мкрн. ""Восток-5"")",$ 69 500,6 024 955 сом
2,50 м2,5 этаж из 5,"Бишкек, 7 м-н",$ 75 000,6 501 750 сом
2,80.4 м2,7 этаж из 9,"Бишкек, с. Кок-Джар, Баялинова 1к",$ 68 050,5 899 255 сом
2,57 м2,14 этаж из 16,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",$ 82 000,7 108 580 сом
5,145 м2,3 этаж из 10,"Бишкек, Сквер Тоголок Молдо, Чуйкова 134/Исанова",$ 265 000,22 972 850 сом
3,136.86 м2,15 этаж из 16,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",$ 137 000,11 876 530 сом
2,49 м2,2 этаж из 12,"Бишкек, Горького - Алма-Атинская,  ул. 7 Апреля (Алматинка/Горького)",$ 61 000,5 288 090 сом
1,42 м2,11 этаж из 12,"Бишкек, Кок-Жар ж/м, мкр. Кок-Жар, ул. 7 апреля 27/1",$ 52 500,4 551 225 сом
3,120 м2,7 этаж из 15,"Бишкек, 7 м-н, 7 мкр., ул. Юнусалиева",$ 340 000,29 474 600 сом
6,195 м2,1 этаж из 5,"Бишкек, Лебединовка, с. Лебединовка, ул. Мичурина 11",$ 215 000,18 638 350 сом
3,107 м2,11 этаж из 14,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",$ 139 100,12 058 579 сом
3,131 м2,11 этаж из 14,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",$ 163 750,14 195 488 сом
1,55 м2,4 этаж из 14,"Бишкек, Пишпек ж/м, Алыбаева 7 / Термечикова (Пишпек)",$ 45 000,3 901 050 сом
2,52 м2,1 этаж из 5,"Бишкек, Асанбай м-н",$ 75 000,6 501 750 сом
2,79 м2,5 этаж из 12,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",$ 92 000,7 975 480 сом
3,112 м2,15 этаж из 20,"Бишкек, Госрегистр, Л.Толстого и пр. Чынгыза Айтматова",$ 134 400,11 651 136 сом
2,50 м2,13 этаж из 16,"Бишкек, Баха, Курчатова",$ 44 000,3 814 360 сом
1,48 м2,4 этаж из 12,"Бишкек, Джальская больница,  ул. Айни 84",$ 53 000,4 594 570 сом
2,67 м2,7 этаж из 12,"Бишкек, Московская - Уметалиева, Боконбаева/Тимирязева",$ 123 000,10 662 870 сом
2,64 м2,2 этаж из 4,"Бишкек, 8 м-н",$ 85 000,7 368 650 сом
2,44 м2,3 этаж из 4,"Бишкек, ЖД вокзал",$ 82 000,7 108 580 сом
2,81 м2,9 этаж из 12,"Бишкек, Магистраль,  ул. Куттубаева, 15",$ 149 000,12 916 810 сом
1,48 м2,4 этаж из 9,"Бишкек, Арча-Бешик ж/м, Садырбаева/Абдрахманова",$ 73 000,6 328 370 сом
2,75 м2,2 этаж из 12,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",$ 119 000,10 316 110 сом
2,44 м2,4 этаж из 4,"Бишкек, Юг-2 м-н",$ 82 000,7 108 580 сом
3,95 м2,9 этаж из 9,"Бишкек, с. Кок-Джар, с. Кок-Джар Бейшена Егимбаева, 145/1",$ 92 000,7 975 480 сом
2,73 м2,9 этаж из 10,"Бишкек, 12 м-н, мкрн 12, ул. Саякбая Каралаева 21а/Нуркамал Жетикашкаевой",$ 122 000,10 576 180 сом
3,83 м2,11 этаж из 12,"Бишкек, с. Кок-Джар, с. Кок-Жар, ул.Конур Осмона",$ 128 000,11 096 320 сом
2,90.5 м2,12 этаж из 14,"Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",$ 145 000,12 570 050 сом
2,44 м2,1 этаж из 5,"Бишкек, Центральная мечеть",$ 72 500,6 285 025 сом
2,80.66 м2,2 этаж из 14,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",$ 81 500,7 065 235 сом
1,53 м2,5 этаж из 16,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",$ 55 650,4 824 299 сом
3,58 м2,3 этаж из 5,"Бишкек, 1000 мелочей, Огонбаева/Гоголя",$ 92 000,7 975 480 сом
1,35 м2,7 этаж из 13,"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Медерова",$ 52 000,4 507 880 сом
2,70 м2,3 этаж из 13,"Бишкек, Военторг, Токтогула/Тоголок Молдо",$ 150 000,13 003 500 сом
2,40 м2,6 этаж из 7,"Бишкек, Арча-Бешик ж/м, Южный магистраль/Чортекова",$ 57 000,4 941 330 сом
2,32 м2,1 этаж из 3,"Бишкек, Таатан",$ 50 000,4 334 500 сом
1,64 м2,7 этаж из 16,"Бишкек, Магистраль, Токомбаева, 23 стр 12",$ 109 000,9 449 210 сом
1,53 м2,2 этаж из 16,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",$ 66 000,5 721 540 сом
2,71.8 м2,8 этаж из 14,"Бишкек, Магистраль, Токомбаева, 15б",$ 74 000,6 415 060 сом
2,76 м2,10 этаж из 10,"Бишкек, Советская - Скрябина, скрябина 78/1",$ 125 000,10 836 250 сом
3,100 м2,8 этаж из 12,"Бишкек, Матросова, Суванбердиева 110",$ 148 000,12 830 120 сом
3,132.8 м2,3 этаж из 9,"Бишкек, Академия Наук, Турусбекова, 88",$ 230 000,19 938 700 сом
3,85 м2,5 этаж из 10,"Бишкек, Сквер Тоголок Молдо, Чуйкова 134/Исанова",$ 122 000,10 576 180 сом
1,53 м2,4 этаж из 10,"Бишкек, Гагарина,  ул.Космическая 96",$ 87 000,7 542 030 сом
2,78 м2,14 этаж из 16,"Бишкек, Магистраль, Магистраль/Сухэ Батора",$ 139 000,12 049 910 сом
3,105 м2,12 этаж из 14,"Бишкек, Магистраль, Токомбаева, 15",$ 110 000,9 535 900 сом
1,41.5 м2,12 этаж из 14,"Бишкек, АЮ Grand, Анкара 1/31",$ 46 500,4 031 085 сом
2,92 м2,16 этаж из 16,"Бишкек, Мадина,  ул. 7 апреля",$ 87 400,7 576 706 сом
2,50 м2,5 этаж из 5,"Бишкек, Московская - Уметалиева, Сыдыкова/Тимирязева",$ 76 000,6 588 440 сом
1,41 м2,9 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова 82/2",$ 63 000,5 461 470 сом
2,52 м2,13 этаж из 16,"Бишкек, Горького - Алма-Атинская,  ул.7-Апреля/ Горького (р/н ТРЦ «Технопарк»)",$ 55 000,4 767 950 сом
