Количество комнат,Площадь,Этаж,Полный адрес,Цена (доллары),Цена (сомы)
5,76 м2,4 этаж из 4,"Бишкек, 8 м-н",$ 120 000,10 402 800 сом
2,57 м2,5 этаж из 5,"Бишкек, Ден Сяопина - Фучика",$ 89 000,7 715 410 сом
2,54 м2,2 этаж из 2,"Иссык-Кульская область, с. Бостери, Бостери, квартал 55",$ 70 000,6 068 300 сом
3,116 м2,10 этаж из 16,"Бишкек, Магистраль, Сухэ Батора и Токомбаева",$ 125 280,10 860 523 сом
1,35 м2,8 этаж из 9,"Бишкек, Аламедин-1 м-н",$ 58 500,5 071 365 сом
2,64 м2,2 этаж из 12,"Бишкек, Асанбай м-н",$ 135 500,11 746 495 сом
2,69 м2,10 этаж из 12,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",$ 118 000,10 229 420 сом
3,123 м2,18 этаж из 18,"Бишкек, Достук, Жумабека/Шопокова",$ 114 390,9 916 469 сом
3,126.4 м2,9 этаж из 10,"Бишкек, Советская - Скрябина, Медерова, 50",$ 200 000,17 338 000 сом
3,110 м2,2 этаж из 8,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 150 000,13 003 500 сом
6,137 м2,5 этаж из 6,"Бишкек, Душанбинка, Токтоналиева, 6",$ 220 000,19 071 800 сом
2,80 м2,14 этаж из 14,"Бишкек, Арча-Бешик ж/м,  ул. Баха / Южная Магистраль",$ 92 000,7 975 480 сом
1,41.46 м2,4 этаж из 14,"Бишкек, Джал 15 м-н, Джал-15 мкр, 1",$ 51 500,4 464 535 сом
3,119 м2,13 этаж из 14,"Бишкек, Арча-Бешик ж/м,  ул. Баха / Южная Магистраль",$ 137 425,11 913 373 сом
1,38 м2,8 этаж из 10,"Бишкек, Магистраль, Токомбаева, 21 к 3б",$ 93 000,8 062 170 сом
2,72 м2,7 этаж из 9,"Бишкек, с. Кок-Джар, Алма-Aтинская/Токомбаева",$ 78 500,6 805 165 сом
2,58 м2,12 этаж из 15,"Бишкек, Асанбай м-н, Токомбаева/Куттубаева",$ 72 500,6 285 025 сом
2,44 м2,2 этаж из 5,"Бишкек, Карпинка, герцена",$ 80 000,6 935 200 сом
2,44.5 м2,3 этаж из 4,"Бишкек, Гагарина, Тимура Фрунзе 89",$ 65 000,5 634 850 сом
3,64 м2,9 этаж из 9,"Бишкек, Вечерка",$ 89 000,7 715 410 сом
3,62 м2,3 этаж из 9,"Бишкек, Аламедин-1 м-н",$ 85 000,7 368 650 сом
1,33 м2,4 этаж из 4,"Бишкек, 4 м-н, 4microdistrict, house 4 4microdistrict, house 4, 62 apt./4microdistrict, house 4",$ 62 000,5 374 780 сом
6,289 м2,1 этаж из 2,"Бишкек, Ала-Арча ж/м, Солнечная 4",$ 350 000,30 341 500 сом
3,127 м2,9 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова",$ 196 850,17 064 927 сом
1,51 м2,4 этаж из 17,"Бишкек, Горького - Панфилова,  ул.Каракульская 1 (Бот.сад)",$ 76 500,6 631 785 сом
